step,agent_y,agent_x,agent_load,rew,action,put/take
716,1,2,3,-1.0,4,walk
717,1,1,3,-1.0,4,walk
718,1,0,3,-1.0,4,walk
719,2,0,0,21.5,3,put
720,2,1,0,-1.0,2,walk
721,2,2,0,-1.0,2,walk
722,2,3,0,-1.0,2,walk
723,3,3,1,6.5,3,take
724,3,4,2,6.5,2,take
725,3,4,2,0.0,0,stay
726,3,4,2,0.0,0,stay
727,3,4,2,0.0,0,stay
728,3,4,2,0.0,0,stay
729,3,3,2,-1.0,4,walk
730,3,2,2,-1.0,4,walk
731,2,2,3,6.5,1,take
732,2,1,3,-1.0,4,walk
733,2,0,0,21.5,4,put
734,2,1,0,-1.0,2,walk
735,1,1,1,6.5,1,take
736,0,1,2,6.5,1,take
737,0,2,2,-1.0,2,walk
738,1,2,2,-1.0,3,walk
739,2,2,3,6.5,3,take
740,2,1,3,-1.0,4,walk
741,2,0,0,21.5,4,put
742,2,1,0,-1.0,2,walk
743,2,2,0,-1.0,2,walk
744,2,3,0,-1.0,2,walk
745,1,3,1,6.5,1,take
746,2,3,1,-1.0,3,walk
747,2,4,1,-1.0,2,walk
748,3,4,2,6.5,3,take
749,3,4,2,0.0,0,stay
750,3,4,2,0.0,0,stay
751,3,4,2,0.0,0,stay
752,3,4,2,0.0,0,stay
753,3,4,2,0.0,0,stay
754,3,4,2,0.0,0,stay
755,3,4,2,0.0,0,stay
756,3,4,2,0.0,0,stay
757,4,4,2,-1.0,3,walk
758,4,3,2,-1.0,4,walk
759,4,2,2,-1.0,4,walk
760,4,1,2,-1.0,4,walk
761,4,0,3,6.5,4,take
762,3,0,3,-1.0,1,walk
763,2,0,0,21.5,1,put
764,2,1,0,-1.0,2,walk
765,2,2,0,-1.0,2,walk
766,2,3,0,-1.0,2,walk
767,1,3,1,6.5,1,take
768,1,3,1,0.0,0,stay
769,1,3,1,0.0,0,stay
770,1,3,1,0.0,0,stay
771,1,3,1,0.0,0,stay
772,1,3,1,0.0,0,stay
773,1,3,1,0.0,0,stay
774,1,3,1,0.0,0,stay
775,1,3,1,0.0,0,stay
776,1,3,1,0.0,0,stay
777,2,3,1,-1.0,3,walk
778,2,4,1,-1.0,2,walk
779,3,4,1,-1.0,3,walk
780,4,4,2,6.5,3,take
781,4,4,2,0.0,0,stay
782,4,4,2,0.0,0,stay
783,4,4,2,0.0,0,stay
784,4,4,2,0.0,0,stay
785,3,4,2,-1.0,1,walk
786,3,3,2,-1.0,4,walk
787,3,2,2,-1.0,4,walk
788,2,2,2,-1.0,1,walk
789,1,2,3,6.5,1,take
790,1,1,3,-1.0,4,walk
791,1,0,3,-1.0,4,walk
792,2,0,0,21.5,3,put
793,2,0,0,0.0,0,stay
794,2,0,0,0.0,0,stay
795,2,0,0,0.0,0,stay
796,2,0,0,0.0,0,stay
797,2,1,0,-1.0,2,walk
798,2,2,0,-1.0,2,walk
799,2,3,0,-1.0,2,walk
